Wavelength (nm),Ring,Ring,Trophozoite,Schizont
360,0.49281,0.56193,0.64886,0.74157
360.07828,0.49039,0.55856,0.64492,0.73683
360.15659,0.48802,0.55525,0.64103,0.73213
360.23494,0.48568,0.55199,0.63718,0.72746
360.31332,0.48338,0.54877,0.63339,0.72283
360.39173,0.48113,0.54561,0.62964,0.71824
360.47018,0.47891,0.54249,0.62594,0.71369
360.54866,0.47672,0.53943,0.62228,0.70918
360.62718,0.47458,0.53641,0.61868,0.70472
360.70573,0.47247,0.53345,0.61512,0.70029
360.78431,0.4704,0.53053,0.61161,0.69591
360.86293,0.46836,0.52766,0.60815,0.69157
360.94159,0.46636,0.52484,0.60473,0.68728
361.02027,0.46439,0.52207,0.60136,0.68304
361.099,0.46246,0.51934,0.59804,0.67884
361.17775,0.46056,0.51667,0.59476,0.67468
361.25654,0.45869,0.51404,0.59152,0.67058
361.33537,0.45686,0.51145,0.58834,0.66652
361.41423,0.45506,0.50892,0.58519,0.66251
361.49312,0.45329,0.50642,0.58209,0.65855
361.57205,0.45155,0.50398,0.57904,0.65463
361.65102,0.44984,0.50157,0.57603,0.65076
361.73001,0.44817,0.49922,0.57306,0.64694
361.80905,0.44652,0.4969,0.57013,0.64317
361.88811,0.44491,0.49463,0.56725,0.63945
361.96721,0.44332,0.4924,0.56441,0.63578
362.04635,0.44177,0.49022,0.5616,0.63215
362.12552,0.44024,0.48807,0.55884,0.62857
362.20472,0.43874,0.48597,0.55612,0.62504
362.28396,0.43727,0.48391,0.55344,0.62156
362.36324,0.43583,0.48189,0.5508,0.61812
362.44255,0.43441,0.47991,0.5482,0.61473
362.52189,0.43302,0.47796,0.54564,0.61138
362.60127,0.43166,0.47606,0.54312,0.60809
362.68068,0.43033,0.4742,0.54063,0.60483
362.76013,0.42902,0.47237,0.53818,0.60163
362.83961,0.42774,0.47058,0.53577,0.59847
362.91913,0.42648,0.46883,0.53339,0.59535
362.99868,0.42526,0.46711,0.53106,0.59228
363.07827,0.42405,0.46543,0.52875,0.58925
363.15789,0.42287,0.46379,0.52648,0.58626
363.23755,0.42172,0.46218,0.52425,0.58332
363.31724,0.42059,0.4606,0.52205,0.58042
363.39697,0.41948,0.45906,0.51989,0.57757
363.47673,0.4184,0.45755,0.51775,0.57475
363.55653,0.41735,0.45608,0.51566,0.57198
363.63636,0.41631,0.45463,0.51359,0.56924
363.71623,0.4153,0.45322,0.51156,0.56655
363.79613,0.41432,0.45185,0.50956,0.5639
363.87607,0.41336,0.4505,0.50759,0.56129
363.95604,0.41242,0.44918,0.50565,0.55871
364.03605,0.4115,0.4479,0.50375,0.55618
364.11609,0.41061,0.44664,0.50187,0.55368
