Wavelength (nm),0 Deg,14 Deg,28 Deg,42 Deg,56 Deg,70 Deg,84 Deg
360,0.49544,0.49509,0.49081,0.5183,0.49063,0.62033,0.40487
360.07828,0.49304,0.4927,0.48837,0.51568,0.48879,0.60955,0.40432
360.15659,0.49067,0.49036,0.486,0.51311,0.48697,0.59965,0.40382
360.23494,0.48834,0.48805,0.48367,0.51057,0.48516,0.59061,0.40338
360.31332,0.48604,0.48578,0.4814,0.50808,0.48338,0.58237,0.40299
360.39173,0.48379,0.48355,0.47919,0.50564,0.48161,0.5749,0.40265
360.47018,0.48157,0.48136,0.47702,0.50324,0.47987,0.56814,0.40237
360.54866,0.47939,0.4792,0.47491,0.50089,0.47814,0.56205,0.40214
360.62718,0.47725,0.47709,0.47285,0.49859,0.47643,0.55658,0.40197
360.70573,0.47514,0.475,0.47083,0.49633,0.47473,0.55169,0.40185
360.78431,0.47307,0.47296,0.46887,0.49414,0.47306,0.54733,0.40178
360.86293,0.47103,0.47095,0.46695,0.49199,0.47141,0.54346,0.40177
360.94159,0.46902,0.46898,0.46507,0.4899,0.46977,0.54005,0.40181
361.02027,0.46705,0.46704,0.46324,0.48787,0.46815,0.53705,0.4019
361.099,0.46512,0.46514,0.46146,0.4859,0.46656,0.53444,0.40205
361.17775,0.46321,0.46328,0.45972,0.484,0.46498,0.53218,0.40226
361.25654,0.46134,0.46144,0.45802,0.48216,0.46342,0.53025,0.40252
361.33537,0.4595,0.45964,0.45637,0.48039,0.46188,0.52862,0.40284
361.41423,0.45769,0.45788,0.45476,0.4787,0.46036,0.52727,0.40321
361.49312,0.45592,0.45614,0.45319,0.47708,0.45886,0.52617,0.40363
361.57205,0.45417,0.45444,0.45166,0.47554,0.45738,0.52531,0.40412
361.65102,0.45246,0.45278,0.45017,0.47408,0.45592,0.52467,0.40466
361.73001,0.45077,0.45114,0.44873,0.47271,0.45448,0.52423,0.40526
361.80905,0.44912,0.44954,0.44732,0.47141,0.45306,0.52397,0.40591
361.88811,0.44749,0.44796,0.44595,0.47019,0.45165,0.52389,0.40663
361.96721,0.4459,0.44642,0.44463,0.46903,0.45027,0.52396,0.4074
362.04635,0.44433,0.44491,0.44335,0.46793,0.44891,0.52418,0.40823
362.12552,0.44279,0.44343,0.4421,0.46684,0.44757,0.52453,0.40913
362.20472,0.44128,0.44198,0.4409,0.46575,0.44625,0.52501,0.41008
362.28396,0.43979,0.44056,0.43974,0.46459,0.44494,0.5256,0.41109
362.36324,0.43834,0.43917,0.43861,0.4633,0.44366,0.52629,0.41217
362.44255,0.43691,0.43781,0.43754,0.46182,0.4424,0.52708,0.41331
362.52189,0.43551,0.43648,0.4365,0.46006,0.44116,0.52795,0.41451
362.60127,0.43413,0.43517,0.4355,0.45797,0.43994,0.52889,0.41577
362.68068,0.43279,0.4339,0.43455,0.45554,0.43874,0.5299,0.4171
362.76013,0.43146,0.43265,0.43364,0.45277,0.43756,0.53097,0.41849
362.83961,0.43017,0.43143,0.43277,0.44974,0.4364,0.53208,0.41995
362.91913,0.4289,0.43024,0.43195,0.44653,0.43526,0.53322,0.42147
362.99868,0.42765,0.42908,0.43118,0.44327,0.43414,0.53439,0.42306
363.07827,0.42643,0.42795,0.43045,0.44005,0.43305,0.53558,0.42471
363.15789,0.42524,0.42684,0.42977,0.43694,0.43197,0.53677,0.42643
363.23755,0.42407,0.42576,0.42914,0.43401,0.43092,0.53794,0.42821
363.31724,0.42292,0.42471,0.42856,0.43127,0.42988,0.5391,0.43005
363.39697,0.4218,0.42368,0.42803,0.42874,0.42887,0.54022,0.43196
363.47673,0.4207,0.42268,0.42756,0.4264,0.42787,0.54129,0.43392
363.55653,0.41963,0.42171,0.42713,0.42424,0.4269,0.5423,0.43595
363.63636,0.41858,0.42077,0.42677,0.42225,0.42595,0.54323,0.43803
363.71623,0.41755,0.41985,0.42645,0.4204,0.42502,0.54406,0.44016
363.79613,0.41655,0.41895,0.4262,0.41867,0.42412,0.54477,0.44234
363.87607,0.41557,0.41809,0.426,0.41706,0.42323,0.54536,0.44456
363.95604,0.41462,0.41725,0.42586,0.41554,0.42237,0.5458,0.44681
364.03605,0.41368,0.41643,0.42578,0.41412,0.42152,0.54607,0.44909
364.11609,0.41277,0.41564,0.42576,0.41276,0.4207,0.54616,0.45139
364.19617,0.41189,0.41488,0.42579,0.41148,0.4199,0.54604,0.45368
364.27629,0.41102,0.41415,0.42589,0.41025,0.41912,0.54571,0.45596
364.35644,0.41018,0.41344,0.42603,0.40908,0.41837,0.54514,0.45821
364.43662,0.40936,0.41275,0.42623,0.40796,0.41763,0.54432,0.4604
364.51684,0.40856,0.41209,0.42648,0.40689,0.41692,0.54324,0.4625
364.59709,0.40779,0.41146,0.42676,0.40586,0.41623,0.54188,0.46448
364.67738,0.40703,0.41085,0.42708,0.40487,0.41556,0.54024,0.4663
364.75771,0.4063,0.41027,0.42741,0.40392,0.41492,0.53832,0.46791
364.83807,0.4056,0.40972,0.42775,0.403,0.41429,0.53611,0.46925
364.91847,0.40491,0.40919,0.42809,0.40212,0.41369,0.53362,0.47025
364.9989,0.40424,0.40869,0.4284,0.40127,0.41312,0.53084,0.47082
365.07937,0.4036,0.40822,0.42865,0.40046,0.41256,0.5278,0.47087
365.15987,0.40298,0.40777,0.42883,0.39967,0.41203,0.52451,0.47029
365.24041,0.40238,0.40734,0.42891,0.39891,0.41152,0.52098,0.46895
365.32098,0.4018,0.40695,0.42886,0.39819,0.41103,0.51724,0.46671
365.40159,0.40124,0.40658,0.42866,0.39749,0.41057,0.51331,0.46344
365.48223,0.40071,0.40624,0.42826,0.39682,0.41013,0.50923,0.45902
365.56291,0.4002,0.40592,0.42765,0.39617,0.40971,0.50502,0.4534
365.64363,0.39971,0.40564,0.42681,0.39555,0.40932,0.50071,0.44665
365.72438,0.39924,0.40538,0.42572,0.39496,0.40895,0.49635,0.43908
365.80517,0.39879,0.40515,0.42437,0.3944,0.4086,0.49196,0.43141
365.88599,0.39836,0.40495,0.42278,0.39386,0.40828,0.48758,0.42497
365.96685,0.39796,0.40477,0.42094,0.39334,0.40798,0.48324,0.42193
366.04775,0.39757,0.40463,0.41889,0.39285,0.40771,0.47896,0.4252
366.12868,0.39721,0.40451,0.41666,0.39239,0.40746,0.47479,0.43802
366.20964,0.39687,0.40442,0.41427,0.39195,0.40723,0.47074,0.46271
366.29064,0.39655,0.40437,0.41178,0.39154,0.40703,0.46685,0.4993
366.37168,0.39626,0.40434,0.40921,0.39115,0.40685,0.46312,0.54489
366.45276,0.39598,0.40435,0.40661,0.39078,0.4067,0.45958,0.59461
366.53386,0.39573,0.40439,0.40401,0.39044,0.40658,0.45624,0.64349
366.61501,0.3955,0.40445,0.40145,0.39013,0.40648,0.45311,0.68796
366.69619,0.3953,0.40456,0.39895,0.38983,0.4064,0.45021,0.72626
366.77741,0.39511,0.40469,0.39654,0.38957,0.40635,0.44754,0.75801
366.85866,0.39495,0.40486,0.39423,0.38932,0.40633,0.4451,0.78363
366.93995,0.39481,0.40506,0.39203,0.3891,0.40633,0.4429,0.80384
