Wavelength (nm),0 deg,14 deg,28 deg,42 deg,56 deg,70 deg,84 deg
360,0.49544,0.60756,0.65054,0.66632,0.65587,0.64725,0.64926
360.07828,0.49304,0.60146,0.64348,0.65946,0.64996,0.64214,0.6445
360.15659,0.49067,0.5955,0.63658,0.65274,0.64415,0.63709,0.63979
360.23494,0.48834,0.58968,0.62982,0.64616,0.63844,0.63211,0.63512
360.31332,0.48604,0.584,0.62322,0.63973,0.63283,0.6272,0.6305
360.39173,0.48379,0.57845,0.61678,0.63343,0.62732,0.62237,0.62593
360.47018,0.48157,0.57304,0.61048,0.62727,0.62191,0.6176,0.62141
360.54866,0.47939,0.56777,0.60433,0.62124,0.6166,0.61291,0.61694
360.62718,0.47725,0.56262,0.59833,0.61535,0.61139,0.60828,0.61252
360.70573,0.47514,0.55761,0.59248,0.6096,0.60628,0.60373,0.60815
360.78431,0.47307,0.55272,0.58678,0.60398,0.60126,0.59925,0.60383
360.86293,0.47103,0.54796,0.58121,0.59849,0.59635,0.59484,0.59957
360.94159,0.46902,0.54332,0.57579,0.59312,0.59153,0.5905,0.59535
361.02027,0.46705,0.5388,0.57051,0.58789,0.5868,0.58623,0.59119
361.099,0.46512,0.5344,0.56537,0.58277,0.58217,0.58203,0.58708
361.17775,0.46321,0.53012,0.56035,0.57778,0.57763,0.5779,0.58303
361.25654,0.46134,0.52595,0.55548,0.57291,0.57318,0.57384,0.57902
361.33537,0.4595,0.52189,0.55073,0.56816,0.56883,0.56985,0.57507
361.41423,0.45769,0.51795,0.5461,0.56352,0.56456,0.56592,0.57117
361.49312,0.45592,0.5141,0.5416,0.559,0.56039,0.56206,0.56733
361.57205,0.45417,0.51037,0.53723,0.55459,0.5563,0.55827,0.56354
361.65102,0.45246,0.50673,0.53297,0.55028,0.55229,0.55455,0.5598
361.73001,0.45077,0.50319,0.52882,0.54609,0.54838,0.55089,0.55611
361.80905,0.44912,0.49975,0.52479,0.54199,0.54454,0.54729,0.55247
361.88811,0.44749,0.49641,0.52087,0.538,0.54079,0.54376,0.54889
