WL,Inf. Array,3x3,12x12,6x6,27x27
360,0.49281,0.49654,0.49479,0.49417,0.50256
360.07828,0.49039,0.49281,0.49244,0.49157,0.50087
360.15659,0.48802,0.49039,0.49013,0.48902,0.49527
360.23494,0.48568,0.48802,0.48784,0.48652,0.49265
360.31332,0.48338,0.48568,0.48559,0.48407,0.49013
360.39173,0.48113,0.48338,0.48338,0.48167,0.48784
360.47018,0.47891,0.48113,0.48119,0.47932,0.48559
360.54866,0.47672,0.47891,0.47904,0.47701,0.48338
360.62718,0.47458,0.47672,0.47692,0.47475,0.48119
360.70573,0.47247,0.47458,0.47483,0.47254,0.47904
360.78431,0.4704,0.47247,0.47277,0.47037,0.47692
360.86293,0.46836,0.4704,0.47074,0.46824,0.47483
360.94159,0.46636,0.46836,0.46875,0.46615,0.47277
361.02027,0.46439,0.46636,0.46678,0.46411,0.47074
361.099,0.46246,0.46439,0.46485,0.46211,0.46875
361.17775,0.46056,0.46246,0.46294,0.46014,0.46678
361.25654,0.45869,0.46056,0.46107,0.45822,0.46485
361.33537,0.45686,0.45869,0.45922,0.45634,0.46294
361.41423,0.45506,0.45686,0.45741,0.45449,0.46107
361.49312,0.45329,0.45506,0.45562,0.45268,0.45922
361.57205,0.45155,0.45329,0.45386,0.4509,0.45741
361.65102,0.44984,0.45155,0.45213,0.44917,0.45562
361.73001,0.44817,0.44984,0.45043,0.44746,0.45386
361.80905,0.44652,0.44817,0.44876,0.44579,0.45213
361.88811,0.44491,0.44652,0.44712,0.44416,0.45043
361.96721,0.44332,0.44491,0.4455,0.44256,0.44876
362.04635,0.44177,0.44332,0.44392,0.44099,0.44712
362.12552,0.44024,0.44177,0.44236,0.43945,0.4455
362.20472,0.43874,0.44024,0.44083,0.43794,0.44392
362.28396,0.43727,0.43874,0.43932,0.43647,0.44236
362.36324,0.43583,0.43727,0.43784,0.43502,0.44083
362.44255,0.43441,0.43583,0.43639,0.43361,0.43932
362.52189,0.43302,0.43441,0.43497,0.43223,0.43784
362.60127,0.43166,0.43302,0.43357,0.43087,0.43639
362.68068,0.43033,0.43166,0.4322,0.42954,0.43497
362.76013,0.42902,0.43033,0.43086,0.42824,0.43357
362.83961,0.42774,0.42902,0.42954,0.42697,0.4322
362.91913,0.42648,0.42774,0.42824,0.42573,0.43086
362.99868,0.42526,0.42648,0.42698,0.42451,0.42954
363.07827,0.42405,0.42526,0.42573,0.42332,0.42824
363.15789,0.42287,0.42405,0.42452,0.42216,0.42698
363.23755,0.42172,0.42287,0.42333,0.42102,0.42573
363.31724,0.42059,0.42172,0.42216,0.41991,0.42452
363.39697,0.41948,0.42059,0.42102,0.41883,0.42333
363.47673,0.4184,0.41948,0.4199,0.41776,0.42216
363.55653,0.41735,0.4184,0.41881,0.41673,0.42102
363.63636,0.41631,0.41735,0.41774,0.41572,0.4199
363.71623,0.4153,0.41631,0.4167,0.41473,0.41881
363.79613,0.41432,0.4153,0.41568,0.41377,0.41774
363.87607,0.41336,0.41432,0.41469,0.41283,0.4167
363.95604,0.41242,0.41336,0.41372,0.41191,0.41568
364.03605,0.4115,0.41242,0.41277,0.41102,0.41469
364.11609,0.41061,0.4115,0.41185,0.41015,0.41372
364.19617,0.40974,0.41061,0.41095,0.4093,0.41277
364.27629,0.40889,0.40974,0.41007,0.40848,0.41185
364.35644,0.40807,0.40889,0.40922,0.40767,0.41095
364.43662,0.40727,0.40807,0.40839,0.40689,0.41007
364.51684,0.40649,0.40727,0.40758,0.40614,0.40922
364.59709,0.40573,0.40649,0.4068,0.4054,0.40839
364.67738,0.405,0.40573,0.40604,0.40469,0.40758
364.75771,0.40428,0.405,0.40531,0.404,0.4068
364.83807,0.40359,0.40428,0.4046,0.40333,0.40604
364.91847,0.40292,0.40359,0.40391,0.40268,0.40531
364.9989,0.40228,0.40292,0.40324,0.40206,0.4046
365.07937,0.40165,0.40228,0.4026,0.40145,0.40391
365.15987,0.40105,0.40165,0.40197,0.40087,0.40324
365.24041,0.40047,0.40105,0.40138,0.40031,0.4026
365.32098,0.39991,0.40047,0.4008,0.39977,0.40197
365.40159,0.39937,0.39991,0.40025,0.39925,0.40138
365.48223,0.39885,0.39937,0.39972,0.39876,0.4008
365.56291,0.39836,0.39885,0.39921,0.39828,0.40025
365.64363,0.39788,0.39836,0.39873,0.39783,0.39972
365.72438,0.39743,0.39788,0.39827,0.39739,0.39921
365.80517,0.397,0.39743,0.39783,0.39698,0.39873
365.88599,0.39659,0.397,0.39742,0.39659,0.39827
365.96685,0.39621,0.39659,0.39702,0.39622,0.39783
366.04775,0.39584,0.39621,0.39665,0.39587,0.39742
366.12868,0.3955,0.39584,0.39631,0.39555,0.39702
366.20964,0.39518,0.3955,0.39598,0.39524,0.39665
366.29064,0.39488,0.39518,0.39568,0.39496,0.39631
366.37168,0.39461,0.39488,0.39541,0.39469,0.39598
366.45276,0.39435,0.39461,0.39515,0.39445,0.39568
366.53386,0.39412,0.39435,0.39492,0.39424,0.39541
366.61501,0.39391,0.39412,0.39471,0.39404,0.39515
366.69619,0.39372,0.39391,0.39453,0.39386,0.39492
366.77741,0.39356,0.39372,0.39437,0.39371,0.39471
366.85866,0.39341,0.39356,0.39423,0.39358,0.39453
366.93995,0.39329,0.39341,0.39412,0.39347,0.39437
367.02128,0.3932,0.39329,0.39403,0.39339,0.39423
