WL,Al,WL,Cr,WL,Cu,WL,Au
360,0.17978,360,0.59411,360,0.49281,360,0.46977
360.07828,0.17944,360.07828,0.59087,360.07828,0.49039,360.07828,0.46807
360.15659,0.17911,360.15659,0.58769,360.15659,0.48802,360.15659,0.46641
360.23494,0.17878,360.23494,0.58454,360.23494,0.48568,360.23494,0.46477
360.31332,0.17846,360.31332,0.58145,360.31332,0.48338,360.31332,0.46316
360.39173,0.17815,360.39173,0.57839,360.39173,0.48113,360.39173,0.46158
360.47018,0.17785,360.47018,0.57539,360.47018,0.47891,360.47018,0.46003
360.54866,0.17756,360.54866,0.57242,360.54866,0.47672,360.54866,0.4585
360.62718,0.17728,360.62718,0.5695,360.62718,0.47458,360.62718,0.45701
360.70573,0.17701,360.70573,0.56663,360.70573,0.47247,360.70573,0.45554
360.78431,0.17676,360.78431,0.5638,360.78431,0.4704,360.78431,0.4541
360.86293,0.17652,360.86293,0.56101,360.86293,0.46836,360.86293,0.45268
360.94159,0.17629,360.94159,0.55826,360.94159,0.46636,360.94159,0.4513
361.02027,0.17608,361.02027,0.55556,361.02027,0.46439,361.02027,0.44994
361.099,0.17589,361.099,0.5529,361.099,0.46246,361.099,0.44861
361.17775,0.17571,361.17775,0.55028,361.17775,0.46056,361.17775,0.44731
361.25654,0.17556,361.25654,0.5477,361.25654,0.45869,361.25654,0.44603
361.33537,0.17542,361.33537,0.54516,361.33537,0.45686,361.33537,0.44478
361.41423,0.17531,361.41423,0.54267,361.41423,0.45506,361.41423,0.44356
361.49312,0.17523,361.49312,0.54021,361.49312,0.45329,361.49312,0.44236
361.57205,0.17517,361.57205,0.53779,361.57205,0.45155,361.57205,0.44119
361.65102,0.17514,361.65102,0.53542,361.65102,0.44984,361.65102,0.44005
361.73001,0.17514,361.73001,0.53308,361.73001,0.44817,361.73001,0.43894
361.80905,0.17517,361.80905,0.53079,361.80905,0.44652,361.80905,0.43785
361.88811,0.17525,361.88811,0.52853,361.88811,0.44491,361.88811,0.43679
361.96721,0.17536,361.96721,0.52631,361.96721,0.44332,361.96721,0.43575
362.04635,0.17552,362.04635,0.52413,362.04635,0.44177,362.04635,0.43474
362.12552,0.17572,362.12552,0.52198,362.12552,0.44024,362.12552,0.43376
362.20472,0.17597,362.20472,0.51988,362.20472,0.43874,362.20472,0.4328
362.28396,0.17628,362.28396,0.5178,362.28396,0.43727,362.28396,0.43187
362.36324,0.17665,362.36324,0.51577,362.36324,0.43583,362.36324,0.43097
362.44255,0.17708,362.44255,0.51377,362.44255,0.43441,362.44255,0.4301
362.52189,0.17759,362.52189,0.51181,362.52189,0.43302,362.52189,0.42925
362.60127,0.17817,362.60127,0.50989,362.60127,0.43166,362.60127,0.42842
