Wavelength (nm),0.5 nm,1 nm,2 nm,3 nm,4 nm,5 nm ,10 nm
360,0.51437,0.56218,0.62294,0.68923,0.78264,0.86205,0.74279
360.07828,0.5117,0.55895,0.61928,0.68542,0.77938,0.86132,0.74591
360.15659,0.50907,0.55576,0.61565,0.68162,0.7761,0.86055,0.74901
360.23494,0.50648,0.55261,0.61206,0.67785,0.7728,0.85976,0.75207
360.31332,0.50393,0.5495,0.60851,0.67411,0.76949,0.85895,0.75511
360.39173,0.50141,0.54644,0.605,0.67039,0.76617,0.8581,0.75811
360.47018,0.49893,0.54341,0.60153,0.6667,0.76284,0.85723,0.76108
360.54866,0.49649,0.54043,0.5981,0.66303,0.75949,0.85634,0.76402
360.62718,0.49409,0.53749,0.59471,0.65939,0.75614,0.85541,0.76692
360.70573,0.49172,0.5346,0.59136,0.65579,0.75278,0.85446,0.76978
360.78431,0.48938,0.53174,0.58804,0.65221,0.74941,0.85348,0.7726
360.86293,0.48708,0.52892,0.58477,0.64866,0.74604,0.85247,0.77537
360.94159,0.48482,0.52614,0.58154,0.64514,0.74267,0.85143,0.77811
361.02027,0.48259,0.52341,0.57834,0.64164,0.73929,0.85036,0.7808
361.099,0.48039,0.52071,0.57518,0.63818,0.73592,0.84926,0.78344
361.17775,0.47823,0.51805,0.57207,0.63475,0.73255,0.84812,0.78604
361.25654,0.4761,0.51543,0.56899,0.63135,0.72917,0.84695,0.78858
361.33537,0.474,0.51285,0.56595,0.62798,0.7258,0.84575,0.79108
361.41423,0.47194,0.5103,0.56294,0.62465,0.72244,0.84451,0.79353
361.49312,0.46991,0.5078,0.55998,0.62134,0.71908,0.84323,0.79592
361.57205,0.46791,0.50533,0.55705,0.61806,0.71573,0.84191,0.79826
361.65102,0.46595,0.50289,0.55415,0.61482,0.71238,0.84055,0.80054
361.73001,0.46401,0.5005,0.5513,0.61161,0.70905,0.83915,0.80277
361.80905,0.46211,0.49814,0.54848,0.60843,0.70572,0.83771,0.80494
361.88811,0.46024,0.49581,0.5457,0.60528,0.7024,0.83622,0.80705
361.96721,0.45839,0.49352,0.54295,0.60216,0.69909,0.83469,0.8091
362.04635,0.45658,0.49126,0.54024,0.59907,0.6958,0.83312,0.81109
362.12552,0.4548,0.48904,0.53757,0.59602,0.69251,0.8315,0.81302
362.20472,0.45305,0.48686,0.53493,0.593,0.68924,0.82984,0.81488
362.28396,0.45133,0.4847,0.53232,0.59001,0.68599,0.82813,0.81669
362.36324,0.44963,0.48258,0.52975,0.58705,0.68275,0.82638,0.81843
362.44255,0.44797,0.4805,0.52722,0.58412,0.67952,0.82458,0.8201
362.52189,0.44633,0.47844,0.52472,0.58122,0.67631,0.82273,0.82171
362.60127,0.44473,0.47642,0.52225,0.57836,0.67311,0.82084,0.82326
362.68068,0.44315,0.47443,0.51982,0.57553,0.66993,0.8189,0.82474
362.76013,0.4416,0.47248,0.51741,0.57273,0.66677,0.81692,0.82615
362.83961,0.44007,0.47055,0.51505,0.56996,0.66363,0.81489,0.82749
362.91913,0.43858,0.46865,0.51271,0.56722,0.6605,0.81282,0.82877
362.99868,0.43711,0.46679,0.51041,0.56451,0.6574,0.8107,0.82998
363.07827,0.43567,0.46495,0.50814,0.56183,0.65431,0.80854,0.83112
363.15789,0.43425,0.46315,0.5059,0.55919,0.65124,0.80634,0.8322
363.23755,0.43286,0.46138,0.50369,0.55657,0.64819,0.8041,0.83321
