Inputs,,,Output,,,,,
Wavelength (um),r1 (um),t1 (nm),Absorption,,,,,
360,0.05,0.2,0.17832,,,,,
360.07828,0.05,0.2,0.1777,,,,,
360.15659,0.05,0.2,0.17709,,,,,
360.23494,0.05,0.2,0.17649,,,,,
360.31332,0.05,0.2,0.1759,,,,Objective,Find r1 and t1 for which Absorption>>0.99 at wavelengths 380 and 432
360.39173,0.05,0.2,0.17532,,,,,
360.47018,0.05,0.2,0.17475,,,,,
360.54866,0.05,0.2,0.17419,,,,,
360.62718,0.05,0.2,0.17364,,,,,
360.70573,0.05,0.2,0.17311,,,,,
360.78431,0.05,0.2,0.17258,,,,,
360.86293,0.05,0.2,0.17206,,,,,
360.94159,0.05,0.2,0.17154,,,,,
361.02027,0.05,0.2,0.17104,,,,,
361.099,0.05,0.2,0.17055,,,,,
361.17775,0.05,0.2,0.17006,,,,,
361.25654,0.05,0.2,0.16959,,,,,
361.33537,0.05,0.2,0.16912,,,,,
361.41423,0.05,0.2,0.16866,,,,,
361.49312,0.05,0.2,0.16821,,,,,
361.57205,0.05,0.2,0.16777,,,,,
361.65102,0.05,0.2,0.16734,,,,,
361.73001,0.05,0.2,0.16691,,,,,
361.80905,0.05,0.2,0.1665,,,,,
361.88811,0.05,0.2,0.16609,,,,,
361.96721,0.05,0.2,0.16568,,,,,
362.04635,0.05,0.2,0.16529,,,,,
362.12552,0.05,0.2,0.1649,,,,,
362.20472,0.05,0.2,0.16452,,,,,
362.28396,0.05,0.2,0.16415,,,,,
362.36324,0.05,0.2,0.16378,,,,,
362.44255,0.05,0.2,0.16342,,,,,
362.52189,0.05,0.2,0.16307,,,,,
362.60127,0.05,0.2,0.16272,,,,,
362.68068,0.05,0.2,0.16239,,,,,
362.76013,0.05,0.2,0.16205,,,,,
362.83961,0.05,0.2,0.16173,,,,,
362.91913,0.05,0.2,0.16141,,,,,
362.99868,0.05,0.2,0.16109,,,,,
363.07827,0.05,0.2,0.16079,,,,,
363.15789,0.05,0.2,0.16048,,,,,
363.23755,0.05,0.2,0.16019,,,,,
363.31724,0.05,0.2,0.1599,,,,,
363.39697,0.05,0.2,0.15962,,,,,
363.47673,0.05,0.2,0.15934,,,,,
363.55653,0.05,0.2,0.15906,,,,,
363.63636,0.05,0.2,0.1588,,,,,
363.71623,0.05,0.2,0.15853,,,,,
363.79613,0.05,0.2,0.15828,,,,,
363.87607,0.05,0.2,0.15802,,,,,
363.95604,0.05,0.2,0.15778,,,,,
364.03605,0.05,0.2,0.15754,,,,,
364.11609,0.05,0.2,0.1573,,,,,
364.19617,0.05,0.2,0.15707,,,,,
364.27629,0.05,0.2,0.15684,,,,,
364.35644,0.05,0.2,0.15661,,,,,
364.43662,0.05,0.2,0.1564,,,,,
364.51684,0.05,0.2,0.15618,,,,,
